Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
1903.0,1,2,74,1840.0,BANCO COMAFI S.A.,,No,17:00:02,1926.0,1814.0,2017504,1694.0,1875.8716,1857.4743,2357.0,AAL,1,Pesos,1866.5,1.44,48hs,1080
0.0,1636,1,,0.0,,,No,,0.0,0.0,0,6.25,0.0,0.0,7.4,AALD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4760.0,17,10,977,4690.5,BANCO COMAFI S.A.,,No,17:00:01,4785.0,4571.5,640834299,4501.0,4653.325,4626.9974,4850.0,AAPL,1,Pesos,4668.0,-0.48,48hs,137744
16.35,20,30,44,15.7,,,No,17:00:01,16.35,15.5,23917,15.5,15.7693,15.657,17.0,AAPLD,0,Du00f3lar efectivo,15.6,-0.64,48hs,1522
4438.0,13,3,33,4390.5,BANCO COMAFI S.A.,,No,17:00:02,4470.5,4304.0,1368489,4331.5,4396.6667,4360.6479,5000.0,ABBV,1,Pesos,4357.0,-0.76,48hs,313
0.0,30,0,,0.0,,,No,,0.0,0.0,0,14.8,0.0,0.0,0.0,ABBVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2607.5,1451,1,8,2585.5,BANCO COMAFI S.A.,,No,17:00:02,2620.5,2584.5,167406,2550.5,2607.0625,2607.664,3000.0,ABEV,-1,Pesos,2591.0,0.21,48hs,64
2204.0,1,21,43,2148.0,Caja de Valores S.A.,,No,17:00:02,2218.5,2124.5,349724,2000.0,2173.3953,2163.3973,3000.0,ABNB,1,Pesos,2185.5,1.75,48hs,161
0.0,1410,0,,0.0,,,No,,0.0,0.0,0,7.21,0.0,0.0,0.0,ABNBD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7620.5,1,8,19,7734.5,BANCO COMAFI S.A.,,No,17:00:01,7633.5,7459.5,1408195,7000.0,7540.4737,7513.1013,7649.0,ABT,1,Pesos,7589.5,-1.87,48hs,187
0.0,4,4,,0.0,,,No,,0.0,0.0,0,10.0,0.0,0.0,33.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2649.0,100,1,5,2696.0,,,No,17:00:02,2650.0,2520.0,51699,2100.0,2571.8,2540.6349,2600.0,ACHHY,0,Pesos,2520.0,-6.53,48hs,20
3974.0,10,1,212,3930.0,BANCO COMAFI S.A.,,No,17:00:02,3974.0,3788.0,10903052,3582.0,3862.5142,3836.8767,5784.0,ADBE,1,Pesos,3870.5,-1.51,48hs,2824
0.0,5,5,,0.0,,,No,,0.0,0.0,0,12.8,0.0,0.0,15.9,ADBED,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4807.0,1,10,19,4656.0,BANCO COMAFI S.A.,,No,17:00:02,4810.0,4641.0,1278907,4600.0,4751.3684,4734.8512,5555.0,ADGO,0,Pesos,4700.0,0.95,48hs,268
0.0,0,15,,0.0,,,No,,0.0,0.0,0,0.0,0.0,0.0,28.25,ADGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
