01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
IBN,22.9500,23.0000,22.5500,22.5600,6495566,2022-09-21,22.9800,-0.4200,-1.8277%
INFY,17.0900,17.2850,17.0000,17.0200,10708856,2022-09-21,17.0200,0.0000,0.0000%
ING,9.6900,9.7400,9.4800,9.4800,4291913,2022-09-21,9.7100,-0.2300,-2.3687%
INTC,29.1500,29.5900,28.4600,28.4700,39630032,2022-09-21,28.9600,-0.4900,-1.6920%
IP,34.9500,35.5000,34.2400,34.2600,2870573,2022-09-21,34.8300,-0.5700,-1.6365%
IBM,126.8900,127.8400,124.9200,124.9300,3320365,2022-09-21,126.3000,-1.3700,-1.0847%
IFF,102.0400,102.5700,99.1000,99.1500,1176275,2022-09-21,101.5600,-2.4100,-2.3730%
ITUB,5.4700,5.5500,5.3999,5.4000,49166150,2022-09-21,5.4800,-0.0800,-1.4599%
JD,55.8600,55.9600,53.8400,53.9300,6062157,2022-09-21,56.8000,-2.8700,-5.0528%
JNJ,165.0200,166.7950,163.2400,163.2800,7861291,2022-09-21,164.9700,-1.6900,-1.0244%
JCI,53.6400,54.0400,52.4200,52.5500,3453630,2022-09-21,53.0900,-0.5400,-1.0171%
YY,27.1600,27.5000,26.3100,26.6800,543418,2022-09-21,27.6800,-1.0000,-3.6127%
JPM,116.5400,116.6000,112.4200,112.4900,12214984,2022-09-21,115.8300,-3.3400,-2.8835%
KB,35.2600,35.5400,34.7900,34.8400,495968,2022-09-21,35.7700,-0.9300,-2.5999%
KMB,121.5200,122.8600,120.7300,120.7300,1205712,2022-09-21,121.5600,-0.8300,-0.6828%
KGC,3.5300,3.6700,3.4700,3.5400,21064163,2022-09-21,3.5100,0.0300,0.8547%
PHG,17.1200,17.2900,16.8400,16.8400,2113159,2022-09-21,17.6000,-0.7600,-4.3182%
KEP,7.0400,7.1200,7.0050,7.0300,214403,2022-09-21,6.9600,0.0700,1.0057%
LRCX,404.9000,418.3750,398.4400,398.6500,1051814,2022-09-21,403.4000,-4.7500,-1.1775%
