01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,112.7600,113.8100,112.2300,113.0000,3581119,2022-09-26,112.9900,0.0100,0.0089%
ABT,100.1800,100.6500,99.2600,99.8400,6001674,2022-09-26,100.6800,-0.8400,-0.8343%
ABBV,142.0800,142.8000,140.1100,141.2100,5666190,2022-09-26,143.0600,-1.8500,-1.2932%
ANF,16.0400,16.3800,15.5000,15.5300,2510567,2022-09-26,15.8800,-0.3500,-2.2040%
AGRO,7.6100,7.7600,7.4200,7.5100,481187,2022-09-26,7.6500,-0.1400,-1.8301%
,,,,,,,,,
ADBE,286.0300,288.9000,276.7500,276.9600,6704315,2022-09-26,284.5600,-7.6000,-2.6708%
AMD,67.8700,68.7400,66.2500,66.3000,81560831,2022-09-26,67.9600,-1.6600,-2.4426%
AEG,4.1300,4.1900,4.0717,4.0900,4062545,2022-09-26,4.1800,-0.0900,-2.1531%
AEM,38.7700,39.0700,36.6850,37.5400,4775217,2022-09-26,39.0700,-1.5300,-3.9160%
BABA,79.9400,80.9855,78.7800,78.9100,17727553,2022-09-26,78.8000,0.1100,0.1396%
GOOGL,98.1000,99.8800,97.8000,98.1700,26751999,2022-09-26,98.7400,-0.5700,-0.5773%
MO,41.5900,41.9800,41.1300,41.4700,9630084,2022-09-26,41.6800,-0.2100,-0.5038%
ACHHY,8.1600,8.7500,8.1600,8.1700,8613,2022-09-26,8.7500,-0.5800,-6.6286%
AMZN,113.2950,117.3400,113.1300,115.1500,62193602,2022-09-26,113.7800,1.3700,1.2041%
ABEV,2.8300,2.8776,2.7700,2.8000,36230597,2022-09-26,2.8800,-0.0800,-2.7778%
AMX,17.4100,17.5200,17.1200,17.1900,2777854,2022-09-26,17.4900,-0.3000,-1.7153%
AAL,12.1800,12.4250,11.8500,11.8600,38014670,2022-09-26,12.2100,-0.3500,-2.8665%
AXP,140.0400,141.2900,136.6950,137.4500,3774676,2022-09-26,140.2600,-2.8100,-2.0034%
AIG,49.2400,50.0200,48.0900,48.4100,5894214,2022-09-26,49.7700,-1.3600,-2.7326%
AMGN,226.7700,228.6400,225.3750,226.8700,2445184,2022-09-26,226.9700,-0.1000,-0.0441%
ADI,142.6700,143.7400,140.6200,140.8200,4489799,2022-09-26,141.9200,-1.1000,-0.7751%
AAPL,149.6600,153.7701,149.6400,150.7700,92780453,2022-09-26,150.4300,0.3400,0.2260%
AMAT,84.2900,85.5800,82.8400,82.9400,6970052,2022-09-26,84.2900,-1.3500,-1.6016%
ARCO,6.9400,7.0100,6.7300,6.7500,907172,2022-09-26,7.0000,-0.2500,-3.5714%
AZN,53.7500,54.0100,52.6500,53.0200,9914235,2022-09-26,54.5800,-1.5600,-2.8582%
T,15.9100,15.9800,15.5800,15.6700,46564049,2022-09-26,16.0100,-0.3400,-2.1237%
ADP,229.9700,232.4000,227.8200,228.6400,1678035,2022-09-26,230.2800,-1.6400,-0.7122%
AVY,165.2900,166.3000,162.5200,163.6700,392568,2022-09-26,165.6200,-1.9500,-1.1774%
CAR,137.5000,147.3800,137.5000,138.8700,1042643,2022-09-26,138.2500,0.6200,0.4485%
BIDU,119.2700,121.1400,118.5800,119.4700,2124544,2022-09-26,118.7500,0.7200,0.6063%
BBVA,4.5500,4.6100,4.5000,4.5200,2259373,2022-09-26,4.5900,-0.0700,-1.5251%
BBD,3.7000,3.7500,3.6200,3.6800,35220521,2022-09-26,3.8200,-0.1400,-3.6649%
BSBR,5.7300,5.7700,5.5600,5.6400,1752917,2022-09-26,5.9000,-0.2600,-4.4068%
SAN,2.3800,2.4100,2.3300,2.3400,7455059,2022-09-26,2.4200,-0.0800,-3.3058%
BAC,31.3200,31.8200,30.6814,31.0300,39790063,2022-09-26,31.7300,-0.7000,-2.2061%
BK,39.8200,40.2800,39.2400,39.4700,6748055,2022-09-26,40.1700,-0.7000,-1.7426%
BCS,7.0000,7.1050,6.8400,6.9000,15953282,2022-09-26,7.0800,-0.1800,-2.5424%
GOLD,14.3300,14.5200,13.9700,14.1900,21915803,2022-09-26,14.4800,-0.2900,-2.0028%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,47.5000,48.5950,47.3900,47.4700,5584976,2022-09-26,48.8700,-1.4000,-2.8647%
BIOX,11.9800,12.8900,11.9800,12.5500,86639,2022-09-26,12.2000,0.3500,2.8689%
BIIB,197.4400,199.8050,194.6300,195.7500,1019004,2022-09-26,197.7800,-2.0300,-1.0264%
BB,5.0300,5.2250,4.9700,4.9700,7993015,2022-09-26,5.0700,-0.1000,-1.9724%
BA,129.7700,132.4500,126.8800,127.3400,7036928,2022-09-26,131.2600,-3.9200,-2.9864%
BP,27.8200,28.1800,27.2050,27.2600,17509825,2022-09-26,28.0800,-0.8200,-2.9202%
BRFS,2.5400,2.5600,2.3800,2.4400,5665921,2022-09-26,2.5600,-0.1200,-4.6875%
BMY,70.1400,70.8500,69.6900,70.1500,10208106,2022-09-26,70.7100,-0.5600,-0.7920%
AVGO,468.9800,473.3000,461.3100,462.2600,1926365,2022-09-26,468.6800,-6.4200,-1.3698%
BG,82.3700,84.3900,81.2900,81.9200,1347042,2022-09-26,83.1900,-1.2700,-1.5266%
CAJ,22.0800,22.2400,21.9000,22.0500,683882,2022-09-26,22.4200,-0.3700,-1.6503%
CAH,65.7300,66.4900,65.4300,65.7700,2677098,2022-09-26,66.0500,-0.2800,-0.4239%
CAT,164.0000,165.8499,162.2200,162.6200,3194679,2022-09-26,164.2400,-1.6200,-0.9864%
CX,3.4000,3.4600,3.2800,3.3000,4529489,2022-09-26,3.4400,-0.1400,-4.0698%
EBR,8.5600,8.6200,8.2600,8.3600,4469286,2022-09-26,8.7600,-0.4000,-4.5662%
CVX,143.5700,145.0500,140.8900,140.9600,9352865,2022-09-26,144.7700,-3.8100,-2.6318%
LFCHY,6.5500,6.5700,6.4600,6.4700,162179,2022-09-26,6.6100,-0.1400,-2.1180%
SNPTY,43.6000,45.0000,42.4000,44.0000,38257,2022-09-26,43.6000,0.4000,0.9174%
CBD,3.8400,3.8950,3.6500,3.7100,1208657,2022-09-26,3.9700,-0.2600,-6.5491%
ELP,6.1600,6.1800,5.9300,5.9500,626191,2022-09-26,6.3300,-0.3800,-6.0032%
SBS,8.5600,8.6212,8.0500,8.0600,7695720,2022-09-26,8.7500,-0.6900,-7.8857%
SID,2.4100,2.4600,2.2800,2.3000,7014683,2022-09-26,2.4900,-0.1900,-7.6305%
CSCO,40.6600,41.1900,40.3700,40.5800,22568522,2022-09-26,40.6600,-0.0800,-0.1968%
C,43.6900,44.1800,42.5750,42.9900,23489772,2022-09-26,44.2600,-1.2700,-2.8694%
KO,58.4900,58.5700,57.6850,57.8700,17697644,2022-09-26,58.6000,-0.7300,-1.2457%
KOF,57.2300,57.6925,56.1450,56.4900,97608,2022-09-26,57.8100,-1.3200,-2.2833%
CDE,2.7500,2.8400,2.6500,2.7000,3829302,2022-09-26,2.7800,-0.0800,-2.8777%
COIN,62.9800,66.3300,62.1800,62.2800,9532360,2022-09-26,61.8800,0.4000,0.6464%
CL,75.5300,75.7750,74.7800,75.0000,3769022,2022-09-26,75.5300,-0.5300,-0.7017%
GLW,30.0500,30.5300,29.8700,29.8900,3570540,2022-09-26,30.3100,-0.4200,-1.3857%
CAAP,6.4000,6.5500,6.2410,6.3700,46560,2022-09-26,6.4900,-0.1200,-1.8490%
COST,465.8700,484.1096,465.2100,480.3000,3944567,2022-09-26,466.4000,13.9000,2.9803%
CS,4.1800,4.2400,3.9900,4.0500,17706502,2022-09-26,4.1400,-0.0900,-2.1739%
,,,,,,,,,
DE,331.0500,338.8250,330.7600,332.2400,1217353,2022-09-26,334.2200,-1.9800,-0.5924%
DESP,6.0800,6.1900,5.7800,5.8500,265716,2022-09-26,6.1700,-0.3200,-5.1864%
,,,,,,,,,
DEO,166.4500,168.8900,165.7850,166.9600,438662,2022-09-26,166.8900,0.0700,0.0419%
DOCU,52.7500,54.6000,51.6200,51.6700,3615036,2022-09-26,52.3900,-0.7200,-1.3743%
DOW,43.5200,44.2600,43.1600,43.3900,5465294,2022-09-26,43.9000,-0.5100,-1.1617%
DD,50.3000,51.4500,49.8000,50.0500,2965805,2022-09-26,50.7400,-0.6900,-1.3599%
,,,,,,,,,
EBAY,38.1600,39.1050,38.1000,38.1300,5556984,2022-09-26,38.1900,-0.0600,-0.1571%
EA,115.3200,116.5700,114.1200,114.8200,1722834,2022-09-26,115.6400,-0.8200,-0.7091%
LLY,308.8000,311.7300,304.8800,307.5000,3742122,2022-09-26,311.4600,-3.9600,-1.2714%
,,,,,,,,,
ERJ,9.4800,9.7150,9.2000,9.2200,1398617,2022-09-26,9.6800,-0.4600,-4.7521%
E,20.5600,20.8632,20.3800,20.4400,712890,2022-09-26,20.8500,-0.4100,-1.9664%
EFX,174.9100,177.7100,173.2400,173.3500,1022897,2022-09-26,174.9100,-1.5600,-0.8919%
ERIC,5.9000,5.9700,5.7850,5.8500,7541228,2022-09-26,5.9500,-0.1000,-1.6807%
ETSY,96.0700,98.7700,94.1600,94.3000,2473178,2022-09-26,96.4700,-2.1700,-2.2494%
XOM,84.9000,86.2200,83.8900,83.9800,21707703,2022-09-26,85.7500,-1.7700,-2.0641%
FNMA,0.5310,0.5650,0.5310,0.5375,1151298,2022-09-26,0.5354,0.0020,0.3829%
FDX,148.4700,150.8400,142.4020,142.9000,5659382,2022-09-26,149.3300,-6.4300,-4.3059%
FSLR,129.9000,133.0000,127.6000,128.2100,2678903,2022-09-26,129.8500,-1.6400,-1.2630%
FMX,61.4700,61.7550,59.5475,59.9800,621903,2022-09-26,61.6100,-1.6300,-2.6457%
FMCC,0.5479,0.5790,0.5325,0.5505,809895,2022-09-26,0.5400,0.0105,1.9444%
FCX,26.1800,27.2600,26.1200,26.5000,16878995,2022-09-26,26.6800,-0.1800,-0.6747%
GRMN,82.5300,83.7700,82.2000,82.3300,997818,2022-09-26,82.7700,-0.4400,-0.5316%
OGZPY,1.1000,1.1000,1.1000,1.1000,0,2022-08-03,1.1000,0.0000,0.0000%
GE,64.5300,66.1600,64.2100,64.3500,10211317,2022-09-26,64.5500,-0.2000,-0.3098%
GM,35.1000,36.0500,34.6700,35.0400,16674078,2022-09-26,35.4800,-0.4400,-1.2401%
GPRK,11.8500,11.9600,11.1700,11.2700,285884,2022-09-26,11.9700,-0.7000,-5.8480%
GGB,4.5200,4.5650,4.2900,4.3000,16524015,2022-09-26,4.6500,-0.3500,-7.5269%
GILD,62.5100,62.9400,62.1650,62.3400,6123552,2022-09-26,62.8600,-0.5200,-0.8272%
GLOB,189.6300,197.0000,188.0300,191.5700,384402,2022-09-26,190.0900,1.4800,0.7786%
GFI,7.1500,7.3000,7.0300,7.1500,10202059,2022-09-26,7.1500,0.0000,0.0000%
GS,299.0000,302.1000,292.3100,294.6200,2251574,2022-09-26,301.9700,-7.3500,-2.4340%
PAC,132.0000,132.4850,127.3300,127.3700,53179,2022-09-26,132.9900,-5.6200,-4.2259%
ASR,198.9500,199.7550,191.4300,193.3200,42385,2022-09-26,201.4100,-8.0900,-4.0167%
TV,5.6100,5.6800,5.3600,5.3800,1437386,2022-09-26,5.6600,-0.2800,-4.9470%
GSK,29.0600,29.2700,28.4650,28.8200,12322952,2022-09-26,29.3600,-0.5400,-1.8392%
HAL,24.5800,24.5900,23.3000,23.3100,11348228,2022-09-26,24.5800,-1.2700,-5.1668%
HOG,37.2500,38.2200,36.8400,37.1200,1544406,2022-09-26,37.5400,-0.4200,-1.1188%
HMY,1.9800,2.1000,1.9700,2.0100,10860637,2022-09-26,2.0000,0.0100,0.5000%
HDB,58.3900,58.9000,57.8900,58.4400,2401556,2022-09-26,58.9700,-0.5300,-0.8988%
HL,3.6000,3.6700,3.4100,3.5100,8808413,2022-09-26,3.6300,-0.1200,-3.3058%
HSY,223.2000,226.8100,222.1400,223.7800,950458,2022-09-26,223.9400,-0.1600,-0.0714%
HD,271.4300,273.5550,265.6100,266.5800,4148127,2022-09-26,270.9400,-4.3600,-1.6092%
HNHPF,6.5000,6.5200,6.4500,6.4900,32223,2022-09-26,6.5300,-0.0400,-0.6126%
HMC,23.0600,23.2600,22.6650,22.8100,1617980,2022-09-26,23.5200,-0.7100,-3.0187%
HON,171.5300,172.3300,168.8600,170.0700,3184962,2022-09-26,171.3800,-1.3100,-0.7644%
HWM,31.6600,31.8900,30.9400,31.0400,2400497,2022-09-26,31.8300,-0.7900,-2.4819%
HPQ,25.0700,25.5000,24.8100,24.9600,8797689,2022-09-26,25.3500,-0.3900,-1.5385%
HSBC,27.1600,27.4770,26.8126,27.0400,5072770,2022-09-26,28.1600,-1.1200,-3.9773%
HNPIY,19.1000,19.2275,19.1000,19.1600,4047,2022-09-26,18.7250,0.4350,2.3231%
IBN,21.1200,21.2900,20.9700,21.0600,7342600,2022-09-26,21.4900,-0.4300,-2.0009%
INFY,16.7300,16.9350,16.6400,16.6900,10201176,2022-09-26,16.6100,0.0800,0.4816%
ING,8.8300,8.9350,8.6700,8.6900,7632180,2022-09-26,8.9400,-0.2500,-2.7964%
INTC,27.5600,27.6995,26.8600,26.9700,44509136,2022-09-26,27.5200,-0.5500,-1.9985%
IP,32.7500,32.8500,31.1300,31.7700,8445515,2022-09-26,33.1000,-1.3300,-4.0181%
IBM,122.3000,124.2600,121.7500,122.0100,3953121,2022-09-26,122.7100,-0.7000,-0.5705%
IFF,96.7500,98.0900,95.4810,96.2800,1134504,2022-09-26,96.7300,-0.4500,-0.4652%
ITUB,5.1950,5.2500,5.0600,5.1400,54935918,2022-09-26,5.3700,-0.2300,-4.2831%
JD,53.2300,54.6800,53.1000,53.3400,6187568,2022-09-26,52.3100,1.0300,1.9690%
JNJ,165.8000,166.8400,164.3800,165.7000,8563925,2022-09-26,166.7200,-1.0200,-0.6118%
JCI,50.5000,50.8650,49.5050,49.6800,2774535,2022-09-26,50.6700,-0.9900,-1.9538%
YY,26.2400,27.0650,26.0300,26.0300,212068,2022-09-26,25.8600,0.1700,0.6574%
JPM,108.0000,109.6050,106.0600,106.7900,15361505,2022-09-26,109.1400,-2.3500,-2.1532%
