01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,108.4950,110.4500,107.9500,108.8400,2894872,2022-10-11,108.4600,0.3800,0.3504%
ABT,100.8500,102.7500,100.0900,101.7500,5060381,2022-10-11,101.1300,0.6200,0.6131%
ABBV,138.0200,143.6800,138.0200,141.5100,5670669,2022-10-11,138.3100,3.2000,2.3136%
ANF,15.4700,15.9800,14.6300,15.4400,1899023,2022-10-11,15.4400,0.0000,0.0000%
AGRO,8.5000,8.5250,8.2400,8.3500,303606,2022-10-11,8.5100,-0.1600,-1.8801%
,,,,,,,,,
ADBE,285.6900,288.2800,281.4400,284.8300,3169090,2022-10-11,285.7200,-0.8900,-0.3115%
AMD,57.2100,58.9150,56.0500,57.6300,113648886,2022-10-11,57.8100,-0.1800,-0.3114%
AEG,3.9100,3.9150,3.8100,3.8200,3256047,2022-10-11,4.0900,-0.2700,-6.6015%
AEM,42.0700,42.6900,41.4400,41.4900,3005783,2022-10-11,42.0900,-0.6000,-1.4255%
BABA,77.3800,77.8400,74.1400,75.3700,18274879,2022-10-11,79.2400,-3.8700,-4.8839%
GOOGL,97.4300,99.2450,96.3100,97.1800,25464001,2022-10-11,97.8600,-0.6800,-0.6949%
MO,44.2200,45.0800,43.9500,44.3500,14557975,2022-10-11,43.4600,0.8900,2.0479%
ACHHY,7.7100,8.2999,7.7100,8.2999,1559,2022-10-11,8.2900,0.0099,0.1194%
AMZN,112.7100,115.4800,110.3900,112.2100,55932239,2022-10-11,113.6700,-1.4600,-1.2844%
ABEV,2.8800,2.8900,2.7900,2.8000,27725149,2022-10-11,2.8900,-0.0900,-3.1142%
AMX,16.4200,16.8800,16.3900,16.6800,2539960,2022-10-11,16.4700,0.2100,1.2750%
AAL,12.7400,12.8550,11.7900,12.2600,64367582,2022-10-11,12.0500,0.2100,1.7427%
AXP,136.3700,139.2100,135.3900,137.3500,2588575,2022-10-11,137.5100,-0.1600,-0.1164%
AIG,48.2400,49.2100,47.8800,48.0500,4792976,2022-10-11,48.4400,-0.3900,-0.8051%
AMGN,239.4900,250.4799,237.8427,245.4400,6253603,2022-10-11,232.1500,13.2900,5.7247%
ADI,139.6600,141.0700,136.9604,138.8000,4694014,2022-10-11,140.9000,-2.1000,-1.4904%
AAPL,139.9000,141.3500,138.2200,138.9800,76836862,2022-10-11,140.4200,-1.4400,-1.0255%
AMAT,77.7400,78.7700,74.9700,76.3000,12386430,2022-10-11,79.1900,-2.8900,-3.6495%
ARCO,7.4000,7.4900,7.2000,7.2500,724234,2022-10-11,7.4600,-0.2100,-2.8150%
AZN,54.3379,56.4000,54.1250,55.3000,10133944,2022-10-11,54.2100,1.0900,2.0107%
T,14.8500,14.9100,14.6800,14.8100,48892275,2022-10-11,14.9000,-0.0900,-0.6040%
ADP,228.1800,228.6900,225.1100,226.2700,1449625,2022-10-11,228.6900,-2.4200,-1.0582%
AVY,164.3500,168.4800,164.2700,166.3700,449566,2022-10-11,165.3800,0.9900,0.5986%
CAR,174.2300,188.3600,173.4500,182.8200,1125521,2022-10-11,177.3500,5.4700,3.0843%
BIDU,111.7200,112.2800,107.1900,108.6600,2492290,2022-10-11,115.0500,-6.3900,-5.5541%
BBVA,4.4200,4.4800,4.3700,4.3700,1993564,2022-10-11,4.4600,-0.0900,-2.0179%
BBD,3.8500,3.8898,3.7800,3.8400,39121573,2022-10-11,3.8800,-0.0400,-1.0309%
BSBR,6.0100,6.0150,5.7884,5.8000,1941092,2022-10-11,6.0600,-0.2600,-4.2904%
SAN,2.3900,2.4100,2.3500,2.3700,5597902,2022-10-11,2.4200,-0.0500,-2.0661%
BAC,30.3700,30.4700,29.5700,29.7700,57452526,2022-10-11,30.6600,-0.8900,-2.9028%
BK,38.9100,39.1750,38.2700,38.4800,4978974,2022-10-11,39.2100,-0.7300,-1.8618%
BCS,6.2800,6.3300,6.1030,6.1200,15681222,2022-10-11,6.3500,-0.2300,-3.6220%
GOLD,15.3100,15.4850,15.0100,15.0100,19786740,2022-10-11,15.2700,-0.2600,-1.7027%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,50.1300,51.2000,49.4650,50.1300,3989443,2022-10-11,51.2200,-1.0900,-2.1281%
BIOX,12.9200,13.0450,12.4200,12.4200,80169,2022-10-11,13.0400,-0.6200,-4.7546%
BIIB,251.9700,258.8199,250.3100,254.0700,1239011,2022-10-11,254.7800,-0.7100,-0.2787%
BB,4.3800,4.4100,4.1400,4.1800,8570046,2022-10-11,4.4300,-0.2500,-5.6433%
BA,132.9600,135.3600,129.5101,131.5700,8344006,2022-10-11,131.9000,-0.3300,-0.2502%
BP,30.0400,30.4350,29.7400,29.8100,8785329,2022-10-11,30.3500,-0.5400,-1.7792%
BRFS,2.7700,2.7900,2.6800,2.7000,3418329,2022-10-11,2.7600,-0.0600,-2.1739%
BMY,68.5600,70.3600,68.3500,69.6500,8939941,2022-10-11,68.4800,1.1700,1.7085%
AVGO,435.2000,438.7000,425.5800,430.7600,2550607,2022-10-11,437.7000,-6.9400,-1.5856%
BG,85.7000,87.7500,84.3600,86.2000,1029595,2022-10-11,86.6000,-0.4000,-0.4619%
CAJ,22.2500,22.3600,22.0500,22.0700,333406,2022-10-11,22.5500,-0.4800,-2.1286%
CAH,69.0000,71.1200,68.4700,70.3300,3136869,2022-10-11,68.7800,1.5500,2.2536%
CAT,176.8200,183.0800,176.6700,179.7500,2541922,2022-10-11,178.6700,1.0800,0.6045%
CX,3.4000,3.4400,3.3400,3.3800,5395691,2022-10-11,3.4300,-0.0500,-1.4577%
EBR,8.8500,8.9100,8.6050,8.6600,2065283,2022-10-11,8.8700,-0.2100,-2.3675%
CVX,154.7500,159.9300,154.1100,157.1700,7293955,2022-10-11,157.1400,0.0300,0.0191%
LFCHY,6.1200,6.1700,6.0900,6.1100,567857,2022-10-11,6.1900,-0.0800,-1.2924%
SNPTY,42.8200,43.4300,42.6001,42.6100,179847,2022-10-11,42.8200,-0.2100,-0.4904%
CBD,3.7800,3.8550,3.7050,3.7700,1110748,2022-10-11,3.7700,0.0000,0.0000%
ELP,6.3000,6.3100,6.0900,6.0900,493502,2022-10-11,6.3000,-0.2100,-3.3333%
SBS,11.1700,11.1900,10.7300,10.8200,4496271,2022-10-11,11.1400,-0.3200,-2.8725%
SID,2.6700,2.6900,2.6000,2.6400,3552103,2022-10-11,2.7200,-0.0800,-2.9412%
CSCO,39.8100,40.1100,39.2700,39.5800,19360808,2022-10-11,39.8900,-0.3100,-0.7771%
C,41.2700,41.5600,40.4200,40.4500,19974059,2022-10-11,41.6000,-1.1500,-2.7644%
KO,54.4600,55.2200,54.2400,54.4800,14095246,2022-10-11,54.3900,0.0900,0.1655%
KOF,59.3100,60.0400,59.0800,59.3700,157223,2022-10-11,59.8000,-0.4300,-0.7191%
CDE,3.4600,3.6700,3.4300,3.5200,5141218,2022-10-11,3.4600,0.0600,1.7341%
COIN,67.6100,72.6900,65.0250,70.1600,17684263,2022-10-11,67.0400,3.1200,4.6539%
CL,68.6900,69.6300,68.6600,69.0500,3494797,2022-10-11,68.4800,0.5700,0.8324%
GLW,29.8400,30.3700,29.5300,29.9000,3859918,2022-10-11,30.1300,-0.2300,-0.7634%
CAAP,7.0400,7.2200,7.0100,7.1800,32469,2022-10-11,7.1100,0.0700,0.9845%
COST,465.0000,477.2500,463.7000,472.0200,2340468,2022-10-11,466.3100,5.7100,1.2245%
CS,4.4300,4.5700,4.2100,4.2400,25318691,2022-10-11,4.4800,-0.2400,-5.3571%
,,,,,,,,,
DE,356.8200,370.2600,356.1000,363.3300,1453607,2022-10-11,359.6800,3.6500,1.0148%
DESP,6.1500,6.2100,5.9170,6.0600,204017,2022-10-11,6.2000,-0.1400,-2.2581%
,,,,,,,,,
DEO,163.5000,167.1099,162.6280,163.9800,571241,2022-10-11,164.0700,-0.0900,-0.0549%
DOCU,46.1100,46.3850,44.2000,44.5400,4032827,2022-10-11,46.2700,-1.7300,-3.7389%
DOW,44.2800,44.7900,43.4200,43.9500,5208272,2022-10-11,44.8800,-0.9300,-2.0722%
DD,51.1500,52.6800,50.5850,51.8000,2852962,2022-10-11,51.7300,0.0700,0.1353%
,,,,,,,,,
EBAY,37.2120,37.8000,36.6200,36.9500,5840695,2022-10-11,37.5600,-0.6100,-1.6241%
EA,120.2300,121.2700,118.6400,119.2500,1578926,2022-10-11,120.6800,-1.4300,-1.1850%
LLY,320.0000,329.0300,319.4300,327.6000,2590548,2022-10-11,323.8900,3.7100,1.1455%
,,,,,,,,,
ERJ,9.7300,9.7600,9.1100,9.1700,1186270,2022-10-11,9.5500,-0.3800,-3.9791%
E,22.3100,22.6300,22.1100,22.1500,404254,2022-10-11,22.7300,-0.5800,-2.5517%
EFX,168.2500,168.2500,163.3200,163.8200,1001942,2022-10-11,168.5500,-4.7300,-2.8063%
ERIC,6.0300,6.1000,5.9600,5.9800,7760480,2022-10-11,6.0400,-0.0600,-0.9934%
ETSY,107.8700,109.6300,101.5100,105.6000,3358683,2022-10-11,108.9700,-3.3700,-3.0926%
XOM,97.2200,99.7600,96.7500,98.0000,17746306,2022-10-11,98.8400,-0.8400,-0.8499%
FNMA,0.5001,0.5100,0.4910,0.4925,2149939,2022-10-11,0.5025,-0.0100,-1.9900%
FDX,151.5300,154.5900,151.0800,152.0800,4893698,2022-10-11,153.2100,-1.1300,-0.7375%
FSLR,128.8000,132.5000,125.3500,131.3200,3048891,2022-10-11,131.0600,0.2600,0.1984%
FMX,62.6900,64.1400,62.6900,63.1700,537886,2022-10-11,62.9000,0.2700,0.4293%
FMCC,0.5273,0.5299,0.5137,0.5200,1403015,2022-10-11,0.5275,-0.0075,-1.4218%
FCX,28.6700,29.8600,28.2250,29.1800,13793451,2022-10-11,29.2600,-0.0800,-0.2734%
GRMN,79.3200,79.6900,78.1100,78.5000,923130,2022-10-11,79.5800,-1.0800,-1.3571%
OGZPY,1.1000,1.1000,1.1000,1.1000,0,2022-08-03,1.1000,0.0000,0.0000%
GE,64.4900,65.2600,63.0800,64.0000,5289342,2022-10-11,64.9800,-0.9800,-1.5082%
GM,32.0100,32.8700,31.2800,32.0900,16593815,2022-10-11,32.2900,-0.2000,-0.6194%
GPRK,13.8500,14.0850,13.5300,13.9600,286714,2022-10-11,14.1200,-0.1600,-1.1331%
GGB,4.9100,5.0000,4.8600,4.9300,7343700,2022-10-11,4.9200,0.0100,0.2033%
GILD,64.4950,66.0400,64.4800,65.6700,7081011,2022-10-11,64.4600,1.2100,1.8771%
GLOB,172.0000,173.8900,165.0500,170.1400,217027,2022-10-11,172.9600,-2.8200,-1.6304%
GFI,8.3200,8.5399,8.2550,8.3100,7651438,2022-10-11,8.3100,0.0000,0.0000%
GS,298.0100,302.5200,293.9200,294.2100,2372185,2022-10-11,300.5400,-6.3300,-2.1062%
PAC,138.9600,139.5200,136.1500,138.1400,49181,2022-10-11,138.6000,-0.4600,-0.3319%
ASR,207.0300,207.4000,202.9000,204.8500,45695,2022-10-11,207.4700,-2.6200,-1.2628%
TV,5.2900,5.3600,5.2100,5.2700,2052206,2022-10-11,5.2900,-0.0200,-0.3781%
GSK,30.4400,31.0700,30.3350,30.4300,5941095,2022-10-11,30.1900,0.2400,0.7950%
HAL,28.9200,30.4800,28.6900,29.5600,10876933,2022-10-11,29.5500,0.0100,0.0338%
HOG,35.0500,35.7400,34.5100,35.2600,1693362,2022-10-11,35.3000,-0.0400,-0.1133%
HMY,2.8100,2.9000,2.7450,2.7500,5874228,2022-10-11,2.7600,-0.0100,-0.3623%
HDB,56.9900,57.3900,56.3600,56.4700,1874843,2022-10-11,57.6000,-1.1300,-1.9618%
HL,4.3600,4.5400,4.2800,4.3800,9714246,2022-10-11,4.2800,0.1000,2.3364%
HSY,223.5100,226.7400,223.3150,225.4600,763635,2022-10-11,223.5500,1.9100,0.8544%
HD,281.1000,286.2000,280.9000,282.8900,2410628,2022-10-11,282.4600,0.4300,0.1522%
HNHPF,6.4100,6.5100,6.3900,6.4100,78496,2022-10-11,6.5200,-0.1100,-1.6871%
HMC,21.9700,22.2300,21.9000,21.9200,1689630,2022-10-11,22.0700,-0.1500,-0.6797%
HON,171.4000,175.7550,170.7800,173.6200,2897297,2022-10-11,171.8900,1.7300,1.0065%
HWM,32.8700,33.4900,32.5050,33.0000,2388769,2022-10-11,32.9400,0.0600,0.1821%
HPQ,25.0100,25.3250,24.6034,24.7800,7245288,2022-10-11,24.9900,-0.2100,-0.8403%
HSBC,25.4900,25.6750,25.0000,25.1000,4395569,2022-10-11,25.7400,-0.6400,-2.4864%
HNPIY,18.6400,18.7999,18.5500,18.5600,21788,2022-10-11,17.4400,1.1200,6.4220%
IBN,21.0200,21.3350,20.9300,21.0000,9904943,2022-10-11,21.2400,-0.2400,-1.1299%
INFY,17.0300,17.2750,16.9900,17.1300,12552386,2022-10-11,17.5600,-0.4300,-2.4487%
ING,8.5200,8.6100,8.4000,8.4200,4317127,2022-10-11,8.5900,-0.1700,-1.9790%
INTC,25.0100,25.4800,24.6900,25.0400,47618000,2022-10-11,25.2000,-0.1600,-0.6349%
IP,31.1500,31.9900,30.6900,31.5800,4272457,2022-10-11,31.5700,0.0100,0.0317%
IBM,117.4600,119.2300,116.9400,117.8000,4041035,2022-10-11,117.7500,0.0500,0.0425%
IFF,87.5300,87.5300,85.3400,86.6000,2406842,2022-10-11,89.0700,-2.4700,-2.7731%
ITUB,5.5300,5.5750,5.4201,5.4400,41000644,2022-10-11,5.5300,-0.0900,-1.6275%
JD,46.5080,47.4050,45.3100,46.2700,8643169,2022-10-11,47.5800,-1.3100,-2.7533%
JNJ,160.3700,164.1100,160.3700,162.7300,6209462,2022-10-11,160.4100,2.3200,1.4463%
JCI,50.1700,51.6300,50.0400,51.0500,4480152,2022-10-11,50.6700,0.3800,0.7500%
YY,24.8000,24.9900,23.9350,24.4300,533684,2022-10-11,25.3300,-0.9000,-3.5531%
JPM,104.3700,104.5400,101.8500,101.9600,12630253,2022-10-11,104.9900,-3.0300,-2.8860%
KB,31.1300,31.5200,31.0300,31.1600,193624,2022-10-11,31.6500,-0.4900,-1.5482%
KMB,110.6300,112.0800,110.3500,111.3700,1551027,2022-10-11,110.1600,1.2100,1.0984%
KGC,3.6700,3.7400,3.5800,3.6500,15450359,2022-10-11,3.6700,-0.0200,-0.5450%
PHG,15.0000,15.2200,14.7550,14.9100,1946539,2022-10-11,15.0300,-0.1200,-0.7984%
