01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,114.1300,114.1300,111.4200,112.4100,3323105,2022-09-27,113.0000,-0.5900,-0.5221%
ABT,100.2500,100.7300,97.9100,98.3300,6377750,2022-09-27,99.8400,-1.5100,-1.5124%
ABBV,142.5900,145.5400,141.2900,141.7200,5598162,2022-09-27,141.2100,0.5100,0.3612%
ANF,15.7700,16.8100,15.5200,16.0300,2285395,2022-09-27,15.5300,0.5000,3.2196%
AGRO,7.6200,7.8800,7.5850,7.6700,436480,2022-09-27,7.5100,0.1600,2.1305%
,,,,,,,,,
ADBE,281.7000,284.5000,274.7300,277.5700,6390916,2022-09-27,276.9600,0.6100,0.2202%
AMD,67.9000,68.7800,66.0000,67.1700,94871793,2022-09-27,66.3000,0.8700,1.3122%
AEG,4.1200,4.1550,4.0300,4.0700,5047837,2022-09-27,4.0900,-0.0200,-0.4890%
AEM,38.1100,38.7300,37.4100,37.6500,2796988,2022-09-27,37.5400,0.1100,0.2930%
BABA,79.4300,80.4100,77.1000,77.8700,16975106,2022-09-27,78.9100,-1.0400,-1.3180%
GOOGL,99.4300,100.0000,96.8720,97.5000,30072781,2022-09-27,98.1700,-0.6700,-0.6825%
MO,41.8500,42.3350,40.7117,40.7900,8355755,2022-09-27,41.4700,-0.6800,-1.6397%
ACHHY,8.5000,8.5500,8.1800,8.2000,29791,2022-09-27,8.1700,0.0300,0.3672%
AMZN,117.1950,118.3200,113.0500,114.4100,60094693,2022-09-27,115.1500,-0.7400,-0.6426%
ABEV,2.8500,2.8800,2.8100,2.8300,33028207,2022-09-27,2.8000,0.0300,1.0714%
AMX,17.2800,17.5900,17.2250,17.3200,4372921,2022-09-27,17.1900,0.1300,0.7563%
AAL,12.1900,12.5100,11.9100,12.2700,44010453,2022-09-27,11.8600,0.4100,3.4570%
AXP,139.4400,140.3800,136.1000,137.4900,2828818,2022-09-27,137.4500,0.0400,0.0291%
AIG,48.8400,49.0900,48.1000,48.5600,5673991,2022-09-27,48.4100,0.1500,0.3099%
AMGN,226.9700,229.9550,225.0200,225.9900,2009808,2022-09-27,226.8700,-0.8800,-0.3879%
ADI,142.6900,143.9300,139.8700,141.8100,2964284,2022-09-27,140.8200,0.9900,0.7030%
AAPL,152.7400,154.7200,149.9450,151.7600,84442741,2022-09-27,150.7700,0.9900,0.6566%
AMAT,84.4300,85.1800,82.5300,84.1500,6219994,2022-09-27,82.9400,1.2100,1.4589%
ARCO,6.9100,7.0750,6.8750,6.9200,717546,2022-09-27,6.7500,0.1700,2.5185%
AZN,53.4200,54.0100,53.1400,53.2400,7848066,2022-09-27,53.0200,0.2200,0.4149%
T,15.8100,16.0300,15.6700,15.7300,40950669,2022-09-27,15.6700,0.0600,0.3829%
ADP,230.4100,231.9500,225.5300,227.6200,1872706,2022-09-27,228.6400,-1.0200,-0.4461%
AVY,165.9400,167.3000,161.2700,163.0000,375681,2022-09-27,163.6700,-0.6700,-0.4094%
CAR,142.9100,150.4800,140.9900,145.7200,1386890,2022-09-27,138.8700,6.8500,4.9327%
BIDU,119.6000,122.2200,118.2500,119.2700,1734494,2022-09-27,119.4700,-0.2000,-0.1674%
BBVA,4.4400,4.4800,4.3800,4.4100,2694336,2022-09-27,4.5200,-0.1100,-2.4336%
BBD,3.6700,3.7294,3.6300,3.6800,45369370,2022-09-27,3.6800,0.0000,0.0000%
BSBR,5.6400,5.7100,5.5950,5.6300,1380175,2022-09-27,5.6400,-0.0100,-0.1773%
SAN,2.3300,2.3500,2.3000,2.3100,10420349,2022-09-27,2.3400,-0.0300,-1.2821%
BAC,31.2700,31.3679,30.2950,30.5700,43396576,2022-09-27,31.0300,-0.4600,-1.4824%
BK,39.7600,39.8900,38.3000,38.9400,5489466,2022-09-27,39.4700,-0.5300,-1.3428%
BCS,6.9000,6.9200,6.6707,6.7200,16851481,2022-09-27,6.9000,-0.1800,-2.6087%
GOLD,14.3700,14.5500,14.0900,14.1000,17517190,2022-09-27,14.1900,-0.0900,-0.6342%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,48.5000,48.9300,48.1100,48.5000,3995745,2022-09-27,47.4700,1.0300,2.1698%
BIOX,12.4500,12.9100,12.4200,12.8600,74819,2022-09-27,12.5500,0.3100,2.4701%
BIIB,197.0200,200.9500,195.4984,197.7900,849168,2022-09-27,195.7500,2.0400,1.0421%
BB,5.0500,5.1700,4.9750,5.0900,7366679,2022-09-27,4.9700,0.1200,2.4145%
BA,129.3200,130.4500,125.6000,127.5100,6682349,2022-09-27,127.3400,0.1700,0.1335%
BP,27.8300,28.0500,27.3950,27.5500,13906799,2022-09-27,27.2600,0.2900,1.0638%
BRFS,2.5400,2.5700,2.4700,2.5000,3925751,2022-09-27,2.4400,0.0600,2.4590%
BMY,70.7400,71.4950,70.1950,70.3600,12013224,2022-09-27,70.1500,0.2100,0.2994%
AVGO,469.5500,469.8900,456.5100,464.7500,1785161,2022-09-27,462.2600,2.4900,0.5387%
BG,83.0800,84.9200,81.8000,82.2100,1166687,2022-09-27,81.9200,0.2900,0.3540%
CAJ,21.8600,21.9600,21.5100,21.6700,1185862,2022-09-27,22.0500,-0.3800,-1.7234%
CAH,66.3500,67.3200,65.5300,66.2100,3325262,2022-09-27,65.7700,0.4400,0.6690%
CAT,164.4600,164.5680,160.6000,162.4400,2753514,2022-09-27,162.6200,-0.1800,-0.1107%
CX,3.3400,3.4100,3.2400,3.2800,5126545,2022-09-27,3.3000,-0.0200,-0.6061%
EBR,8.3400,8.3600,8.0750,8.1400,1946693,2022-09-27,8.3600,-0.2200,-2.6316%
CVX,142.2900,143.7700,140.4600,141.0200,10121025,2022-09-27,140.9600,0.0600,0.0426%
LFCHY,6.4700,6.4900,6.3700,6.4200,94799,2022-09-27,6.4700,-0.0500,-0.7728%
SNPTY,43.1500,43.7600,42.4400,42.8800,44192,2022-09-27,44.0000,-1.1200,-2.5455%
CBD,3.7600,3.8100,3.6600,3.6900,786999,2022-09-27,3.7100,-0.0200,-0.5391%
ELP,5.9800,6.0100,5.7900,5.8000,912368,2022-09-27,5.9500,-0.1500,-2.5210%
SBS,8.1500,8.2500,8.0000,8.0700,6392584,2022-09-27,8.0600,0.0100,0.1241%
SID,2.3400,2.3800,2.2500,2.2700,5365414,2022-09-27,2.3000,-0.0300,-1.3043%
CSCO,41.1400,41.4600,40.2250,40.5200,15027873,2022-09-27,40.5800,-0.0600,-0.1479%
C,43.2300,43.3900,42.0750,42.5900,21255451,2022-09-27,42.9900,-0.4000,-0.9304%
KO,58.0800,58.3700,56.3100,56.3800,23810912,2022-09-27,57.8700,-1.4900,-2.5747%
KOF,56.6200,57.2100,55.9400,56.5800,308393,2022-09-27,56.4900,0.0900,0.1593%
CDE,2.8000,2.9300,2.7450,2.8300,5555014,2022-09-27,2.7000,0.1300,4.8148%
COIN,65.2900,67.5500,61.8842,63.0500,11860469,2022-09-27,62.2800,0.7700,1.2364%
