01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,115.3000,117.2000,114.7500,116.5200,4153050,2022-09-20,116.6400,-0.1200,-0.1029%
ABT,102.7900,103.0300,101.2300,102.3100,4617205,2022-09-20,104.0900,-1.7800,-1.7101%
ABBV,141.8200,142.4900,140.3700,141.7700,4532904,2022-09-20,142.6600,-0.8900,-0.6239%
ANF,15.8700,16.1900,15.6300,15.9300,2082642,2022-09-20,16.0500,-0.1200,-0.7477%
AGRO,8.4300,8.4850,8.2850,8.4200,715051,2022-09-20,8.5000,-0.0800,-0.9412%
01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,115.3000,117.2000,114.7500,116.5200,4153050,2022-09-20,116.6400,-0.1200,-0.1029%
ABT,102.7900,103.0300,101.2300,102.3100,4617205,2022-09-20,104.0900,-1.7800,-1.7101%
ABBV,141.8200,142.4900,140.3700,141.7700,4532904,2022-09-20,142.6600,-0.8900,-0.6239%
ANF,15.8700,16.1900,15.6300,15.9300,2082642,2022-09-20,16.0500,-0.1200,-0.7477%
AGRO,8.4300,8.4850,8.2850,8.4200,715051,2022-09-20,8.5000,-0.0800,-0.9412%
,,,,,,,,,
ADBE,292.8200,294.0800,287.8088,291.0600,6548807,2022-09-20,296.0600,-5.0000,-1.6888%
AMD,76.0800,76.5800,74.7312,75.2500,51129084,2022-09-20,76.7700,-1.5200,-1.9799%
AEG,4.6700,4.6700,4.5800,4.6200,1523786,2022-09-20,4.7100,-0.0900,-1.9108%
AEM,41.1100,41.2100,40.2600,41.1300,2336078,2022-09-20,41.9000,-0.7700,-1.8377%
BABA,87.9500,88.7300,85.0100,85.8000,19129016,2022-09-20,87.6600,-1.8600,-2.1218%
GOOGL,102.0800,102.3700,100.5200,101.1400,26517123,2022-09-20,103.0700,-1.9300,-1.8725%
MO,42.7100,43.0550,42.5850,42.9200,6529522,2022-09-20,42.9100,0.0100,0.0233%
ACHHY,9.1600,9.5000,9.1600,9.1800,5888,2022-09-20,9.1600,0.0200,0.2183%
AMZN,123.3500,124.3963,121.1400,122.1900,47698432,2022-09-20,124.6600,-2.4700,-1.9814%
ABEV,2.9400,3.0150,2.9100,3.0000,41027101,2022-09-20,2.9600,0.0400,1.3514%
AMX,16.9500,17.5650,16.7300,17.4200,3441400,2022-09-20,16.7200,0.7000,4.1866%
AAL,14.2000,14.3300,13.6900,13.9700,31083423,2022-09-20,14.2100,-0.2400,-1.6890%
AXP,153.5800,154.5900,152.1300,153.4800,1725941,2022-09-20,155.3600,-1.8800,-1.2101%
AIG,54.0000,54.3400,52.4600,53.4100,6373421,2022-09-20,54.5900,-1.1800,-2.1616%
AMGN,228.5000,229.9900,226.5300,227.7100,1745913,2022-09-20,230.7600,-3.0500,-1.3217%
ADI,148.7000,150.5100,148.2600,149.7800,2574358,2022-09-20,149.6100,0.1700,0.1136%
AAPL,153.4000,158.0800,153.0800,156.9000,107689796,2022-09-20,154.4800,2.4200,1.5665%
AMAT,88.0200,89.0200,87.3500,88.1200,4435667,2022-09-20,89.7200,-1.6000,-1.7833%
ARCO,7.4900,7.6500,7.4900,7.5200,419844,2022-09-20,7.5900,-0.0700,-0.9223%
AZN,57.3200,57.6400,56.8800,57.4000,4260700,2022-09-20,57.9900,-0.5900,-1.0174%
T,16.6500,16.6500,16.4600,16.5600,35970844,2022-09-20,16.7600,-0.2000,-1.1933%
ADP,234.4700,234.6900,231.6300,233.5400,1746624,2022-09-20,235.7200,-2.1800,-0.9248%
AVY,176.9100,176.9100,173.9500,175.8300,273334,2022-09-20,179.2400,-3.4100,-1.9025%
CAR,151.5000,155.3100,149.1790,150.0000,1102292,2022-09-20,154.1700,-4.1700,-2.7048%
BIDU,125.8300,127.6600,125.5808,126.1600,1749299,2022-09-20,126.2500,-0.0900,-0.0713%
BBVA,4.8800,4.9100,4.8103,4.8600,2753696,2022-09-20,4.9400,-0.0800,-1.6194%
BBD,3.8000,3.9100,3.7850,3.8900,31249817,2022-09-20,3.7700,0.1200,3.1830%
BSBR,5.9200,6.1550,5.9000,6.0900,1513068,2022-09-20,5.9500,0.1400,2.3529%
SAN,2.5900,2.6100,2.5600,2.5800,4889343,2022-09-20,2.6200,-0.0400,-1.5267%
BAC,34.5000,34.7786,33.8800,34.1700,33591050,2022-09-20,34.6900,-0.5200,-1.4990%
BK,43.8400,43.9100,42.9000,43.2700,2953249,2022-09-20,44.2100,-0.9400,-2.1262%
BCS,7.9200,7.9600,7.7800,7.8300,5958201,2022-09-20,7.9600,-0.1300,-1.6332%
GOLD,15.2300,15.2300,14.8500,15.0500,25211099,2022-09-20,15.5000,-0.4500,-2.9032%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,51.6400,51.7132,51.0050,51.4500,3754718,2022-09-20,51.8900,-0.4400,-0.8479%
BIOX,14.0400,14.0400,12.9100,13.0100,235074,2022-09-20,14.2300,-1.2200,-8.5734%
BIIB,207.7800,207.9500,202.6500,204.2000,947131,2022-09-20,209.2600,-5.0600,-2.4180%
BB,5.6900,5.6950,5.5600,5.5800,2836397,2022-09-20,5.7400,-0.1600,-2.7875%
BA,145.2600,147.6700,143.9000,145.9400,6737550,2022-09-20,144.8800,1.0600,0.7316%
BP,31.1650,31.1900,30.8430,31.0000,7236549,2022-09-20,30.9000,0.1000,0.3236%
BRFS,2.8200,2.8350,2.7000,2.7400,3724007,2022-09-20,2.8200,-0.0800,-2.8369%
