01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
MMM,112.0000,113.1500,110.3900,110.5000,3102992,2022-09-30,112.3000,-1.8000,-1.6028%
ABT,98.7100,99.5000,96.6700,96.7600,6663841,2022-09-30,98.2900,-1.5300,-1.5566%
ABBV,142.2000,142.3250,134.0900,134.2100,15336473,2022-09-30,142.7200,-8.5100,-5.9627%
ANF,14.9200,15.9182,14.4300,15.5500,1860210,2022-09-30,15.4300,0.1200,0.7777%
AGRO,7.8600,8.3750,7.6800,8.2900,1439676,2022-09-30,7.7200,0.5700,7.3834%
,,,,,,,,,
ADBE,279.6900,284.2900,274.8500,275.2000,4509774,2022-09-30,278.2500,-3.0500,-1.0961%
AMD,63.6150,65.9100,63.3400,63.3600,79797022,2022-09-30,64.1400,-0.7800,-1.2161%
AEG,3.9800,4.0400,3.9400,3.9600,3070541,2022-09-30,3.9900,-0.0300,-0.7519%
AEM,41.7500,43.2600,41.4400,42.2300,3723472,2022-09-30,41.4300,0.8000,1.9310%
BABA,78.7400,81.7800,78.6500,79.9900,17073845,2022-09-30,79.0600,0.9300,1.1763%
GOOGL,97.0500,98.9000,95.5600,95.6500,32657556,2022-09-30,97.4200,-1.7700,-1.8169%
MO,41.3900,41.4900,40.3500,40.3800,9091217,2022-09-30,41.1700,-0.7900,-1.9189%
ACHHY,8.0000,8.0900,7.8100,7.8300,7177,2022-09-30,7.5000,0.3300,4.4000%
AMZN,114.0750,116.9200,112.8400,113.0000,59030851,2022-09-30,114.8000,-1.8000,-1.5679%
ABEV,2.8500,2.8800,2.8150,2.8300,28466604,2022-09-30,2.8600,-0.0300,-1.0490%
AMX,16.9500,17.1900,16.3800,16.4700,1417041,2022-09-30,16.9900,-0.5200,-3.0606%
AAL,12.1300,12.3972,12.0100,12.0400,29976501,2022-09-30,12.2500,-0.2100,-1.7143%
AXP,137.4000,138.6700,134.6150,134.9100,3707033,2022-09-30,137.7900,-2.8800,-2.0901%
AIG,47.5700,48.6500,47.3100,47.4800,5191785,2022-09-30,47.6600,-0.1800,-0.3777%
AMGN,228.4200,230.0000,225.1700,225.4000,2541258,2022-09-30,228.4100,-3.0100,-1.3178%
ADI,140.8600,142.6300,139.2400,139.3400,3523236,2022-09-30,141.9900,-2.6500,-1.8663%
AAPL,141.2800,143.1000,138.0000,138.2000,123797858,2022-09-30,142.4800,-4.2800,-3.0039%
AMAT,81.9350,84.4600,81.5300,81.9300,9005761,2022-09-30,84.4200,-2.4900,-2.9495%
ARCO,7.0600,7.3450,6.9730,7.2900,1034028,2022-09-30,7.0600,0.2300,3.2578%
AZN,55.2100,55.7200,54.7600,54.8400,7527254,2022-09-30,54.9100,-0.0700,-0.1275%
T,15.5300,15.6800,15.3400,15.3400,63120848,2022-09-30,15.5300,-0.1900,-1.2234%
ADP,227.7700,229.6850,225.9400,226.1900,2872642,2022-09-30,227.7500,-1.5600,-0.6850%
AVY,164.0200,165.9000,162.2400,162.7000,518006,2022-09-30,163.6000,-0.9000,-0.5501%
CAR,142.0600,153.5050,142.0600,148.4600,1637770,2022-09-30,143.5800,4.8800,3.3988%
BIDU,115.2100,120.3700,115.1608,117.4900,2692041,2022-09-30,117.7200,-0.2300,-0.1954%
BBVA,4.4300,4.5300,4.4300,4.4500,2399507,2022-09-30,4.4500,0.0000,0.0000%
BBD,3.6600,3.7200,3.6300,3.6800,23712967,2022-09-30,3.7000,-0.0200,-0.5405%
BSBR,5.5700,5.6900,5.5700,5.6400,1869517,2022-09-30,5.6100,0.0300,0.5348%
SAN,2.3100,2.3600,2.3100,2.3200,7429967,2022-09-30,2.3100,0.0100,0.4329%
BAC,30.7600,31.1900,30.1650,30.2000,41433729,2022-09-30,30.6600,-0.4600,-1.5003%
BK,38.9900,39.5100,38.4650,38.5200,4462418,2022-09-30,38.8800,-0.3600,-0.9259%
BCS,6.3900,6.5200,6.3600,6.4000,11180938,2022-09-30,6.4800,-0.0800,-1.2346%
GOLD,15.0200,15.7450,14.9850,15.5000,37656837,2022-09-30,15.1000,0.4000,2.6490%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BHP,49.7100,51.1000,49.7100,50.0400,3090087,2022-09-30,50.4200,-0.3800,-0.7537%
BIOX,13.1000,13.3500,12.8200,13.0200,99896,2022-09-30,12.6100,0.4100,3.2514%
BIIB,265.5100,271.4900,257.0201,267.0000,3745849,2022-09-30,264.2800,2.7200,1.0292%
BB,4.7700,4.8800,4.7000,4.7000,4894426,2022-09-30,4.8000,-0.1000,-2.0833%
BA,123.1400,125.4750,120.9900,121.0800,8283892,2022-09-30,125.3300,-4.2500,-3.3910%
BP,28.5400,29.0700,28.4500,28.5500,7806069,2022-09-30,28.7500,-0.2000,-0.6957%
BRFS,2.3700,2.4000,2.3300,2.3400,4066099,2022-09-30,2.4000,-0.0600,-2.5000%
BMY,71.7800,72.1100,70.9800,71.0900,11238142,2022-09-30,71.7100,-0.6200,-0.8646%
AVGO,449.0600,457.8185,443.6350,444.0100,2715139,2022-09-30,450.1300,-6.1200,-1.3596%
BG,83.2100,83.4250,82.0500,82.5700,1033023,2022-09-30,82.2400,0.3300,0.4013%
CAJ,21.8500,22.1600,21.7900,21.8000,439230,2022-09-30,22.0100,-0.2100,-0.9541%
CAH,67.6100,67.9500,66.5400,66.6800,3362491,2022-09-30,67.7900,-1.1100,-1.6374%
CAT,165.8900,167.7800,163.8900,164.0800,2952123,2022-09-30,165.9000,-1.8200,-1.0970%
CX,3.4200,3.4600,3.3700,3.4300,3457977,2022-09-30,3.4000,0.0300,0.8824%
EBR,7.9500,8.1150,7.8850,8.0300,6487840,2022-09-30,7.9400,0.0900,1.1335%
CVX,144.0300,145.1350,142.4901,143.6700,9380073,2022-09-30,144.7700,-1.1000,-0.7598%
LFCHY,6.1200,6.3700,6.1200,6.3400,65707,2022-09-30,6.2050,0.1350,2.1757%
SNPTY,41.2000,42.8000,41.2000,42.0000,40877,2022-09-30,41.1000,0.9000,2.1898%
CBD,3.5300,3.6000,3.4700,3.5400,1079046,2022-09-30,3.5800,-0.0400,-1.1173%
ELP,5.8700,6.0200,5.8500,5.9300,821703,2022-09-30,5.8600,0.0700,1.1945%
SBS,8.8000,9.2900,8.7400,9.1100,6281895,2022-09-30,8.4900,0.6200,7.3027%
SID,2.2400,2.4150,2.2279,2.3800,4993391,2022-09-30,2.2600,0.1200,5.3097%
CSCO,40.6600,41.0400,39.9600,40.0000,27932400,2022-09-30,40.5700,-0.5700,-1.4050%
C,42.3900,42.9700,41.6100,41.6700,22132071,2022-09-30,42.3900,-0.7200,-1.6985%
KO,56.8700,57.1300,56.0000,56.0200,15897853,2022-09-30,56.5700,-0.5500,-0.9722%
KOF,57.9000,59.1500,57.6500,58.3900,228566,2022-09-30,57.9500,0.4400,0.7593%
CDE,3.3700,3.5600,3.3200,3.4200,5445332,2022-09-30,3.4100,0.0100,0.2933%
COIN,61.2500,67.5900,61.0737,64.4900,10162629,2022-09-30,61.9400,2.5500,4.1169%
CL,72.0000,72.2900,70.1600,70.2500,7491124,2022-09-30,71.7700,-1.5200,-2.1179%
GLW,29.5000,29.9200,28.9800,29.0200,4323483,2022-09-30,29.6200,-0.6000,-2.0257%
CAAP,6.5600,6.7300,6.4500,6.6400,133754,2022-09-30,6.5100,0.1300,1.9969%
COST,480.6600,483.8300,471.8700,472.2700,2420666,2022-09-30,478.9800,-6.7100,-1.4009%
CS,3.9800,4.0500,3.9200,3.9200,15061076,2022-09-30,3.9200,0.0000,0.0000%
,,,,,,,,,
