Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
1917.0,1,2,72,1897.5,BANCO COMAFI S.A.,,No,17:00:02,1951.0,1834.5,1675057,1694.0,1877.5694,1859.2266,2357.0,AAL,0,Pesos,1840.0,-3.03,48hs,895
0.0,838,1,,0.0,,,No,,0.0,0.0,0,6.1,0.0,0.0,7.4,AALD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4747.0,17,29,954,4680.5,BANCO COMAFI S.A.,,No,17:00:01,4830.5,4630.5,419147586,4501.0,4709.3805,4678.483,4900.0,AAPL,1,Pesos,4690.5,0.21,48hs,89154
15.9,19,30,40,15.55,,,No,17:00:02,15.9,15.5,21579,15.0,15.67,15.6549,17.0,AAPLD,-1,Du00f3lar efectivo,15.7,0.96,48hs,1376
4422.5,13,3,40,4446.0,BANCO COMAFI S.A.,,No,17:00:02,4422.5,4358.0,12065187,4383.5,4386.5875,4379.8705,5000.0,ABBV,1,Pesos,4390.5,-1.25,48hs,2757
14.6,30,15,1,15.0,,,No,17:00:02,14.6,14.6,292,14.6,14.6,14.6,15.3,ABBVD,0,Du00f3lar efectivo,14.6,-2.67,48hs,20
2648.0,40,1,15,2711.5,BANCO COMAFI S.A.,,No,17:00:02,2648.0,2585.5,274650,2485.0,2600.7667,2590.2253,3000.0,ABEV,-1,Pesos,2585.5,-4.65,48hs,106
0.0,0,3,,0.0,,,No,,0.0,0.0,0,0.0,0.0,0.0,9.25,ABEVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2167.0,1,21,50,2124.0,Caja de Valores S.A.,,No,17:00:02,2188.5,2124.5,1292110,2000.0,2153.62,2150.6961,3000.0,ABNB,-1,Pesos,2148.0,1.13,48hs,601
0.0,720,0,,0.0,,,No,,0.0,0.0,0,7.11,0.0,0.0,0.0,ABNBD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7827.5,1,1,21,7848.0,BANCO COMAFI S.A.,,No,17:00:01,7862.0,7698.5,1025798,7000.0,7766.0,7752.1975,7862.0,ABT,1,Pesos,7734.5,-1.45,48hs,132
0.0,4,4,,0.0,,,No,,0.0,0.0,0,10.0,0.0,0.0,33.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2699.0,100,1,2,2677.5,,,No,17:00:02,2699.0,2690.0,8088,2200.0,2694.5,2693.6,2679.0,ACHHY,-1,Pesos,2696.0,0.69,48hs,3
4061.0,1,1,173,4044.0,BANCO COMAFI S.A.,,No,17:00:02,4097.5,3898.0,6796847,3800.0,3960.9971,3928.7125,5784.0,ADBE,0,Pesos,3930.0,-2.82,48hs,1724
13.6,374,5,1,13.6,,,No,17:00:02,13.6,13.6,54,13.0,13.6,13.6,15.9,ADBED,0,Du00f3lar efectivo,13.6,0.0,48hs,4
4776.0,1,10,34,4786.5,BANCO COMAFI S.A.,,No,17:00:02,4776.0,4600.0,1490749,4600.0,4686.2353,4649.6125,5555.0,ADGO,1,Pesos,4656.0,-2.73,48hs,320
0.0,0,15,,0.0,,,No,,0.0,0.0,0,0.0,0.0,0.0,28.25,ADGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
14811.0,264,3,19,14676.5,BANCO COMAFI S.A.,,No,17:00:01,14811.0,14516.0,12396025,14504.0,14650.9737,14638.0883,17895.0,ADI,0,Pesos,14709.5,0.22,48hs,847
0.0,105,102,,0.0,,,No,,0.0,0.0,0,48.45,0.0,0.0,49.05,ADID,0,Du00f3lar efectivo,0.0,0.0,48hs,0
12008.0,850,850,3,11985.0,BANCO COMAFI S.A.,,No,17:00:01,12008.0,11792.5,130177,11803.0,11873.8333,11824.7812,11929.0,ADP,-1,Pesos,11792.5,-1.61,48hs,11
0.0,8,0,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1680.0,0.0,0.0,0.0,ADS,0,Pesos,0.0,0.0,48hs,0
0.0,3027,3027,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1261.5,0.0,0.0,1286.5,AEG,0,Pesos,0.0,0.0,48hs,0
3850.0,966,966,11,4020.5,BANCO COMAFI S.A.,,No,17:00:01,3864.5,3807.0,565640,3862.0,3831.8182,3832.9969,3938.0,AEM,-1,Pesos,3827.0,-4.81,48hs,148
3070.5,1,3,7,3185.0,BANCO COMAFI S.A.,,No,17:00:01,3070.5,2985.0,84883,900.0,3019.2857,3011.5786,3200.5,AIG,-1,Pesos,3014.0,-5.37,48hs,28
0.0,510,0,,0.0,,,No,,0.0,0.0,0,9.96,0.0,0.0,0.0,AIGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3250.0,5,1195,10,3294.0,BANCO COMAFI S.A.,,No,17:00:02,3307.5,3220.0,106572,3180.0,3236.8,3240.2784,3344.0,AKO.B,1,Pesos,3307.5,0.41,48hs,33
5325.0,740,3,16,5261.0,BANCO COMAFI S.A.,,No,17:00:01,5325.0,5156.0,327623,5098.0,5202.7812,5183.0938,5900.0,AMAT,1,Pesos,5176.0,-1.62,48hs,63
0.0,295,5,,0.0,,,No,,0.0,0.0,0,17.15,0.0,0.0,17.35,AMATD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
42540.0,1,4,240,42549.5,BANCO COMAFI S.A.,,No,17:00:02,42993.0,41159.5,170538577,41005.0,41799.0979,41514.5063,55999.0,AMD,0,Pesos,41374.5,-2.76,48hs,4090
42399.5,790,0,2,41475.5,,,No,17:00:02,42399.5,41525.0,64392377,41525.0,41962.25,41810.7467,0.0,AMD.B,-1,Pesos,41525.0,0.12,48hs,1535
0.0,1,3,,0.0,,,No,,0.0,0.0,0,133.25,0.0,0.0,170.0,AMDD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7052.5,1,1,13,7032.0,BANCO COMAFI S.A.,,No,17:00:01,7110.0,6995.0,4827070,1.0,7039.2692,7013.5269,7150.0,AMGN,0,Pesos,7014.5,-0.25,48hs,687
5430.0,1480,1480,9,5439.0,BANCO COMAFI S.A.,,No,17:00:01,5450.0,5287.0,268421,5316.5,5365.1667,5340.3507,5376.0,AMX,-1,Pesos,5287.0,-2.79,48hs,50
17.9,6,27,1,18.0,,,No,17:00:02,17.9,17.9,161,17.2,17.9,17.9,18.0,AMXD,0,Du00f3lar efectivo,17.9,-0.56,48hs,9
248.5,2,20,1515,245.5,BANCO COMAFI S.A.,,No,17:00:02,254.0,244.0,41644718,245.0,248.4893,247.5253,255.0,AMZN,0,Pesos,248.75,1.32,48hs,168313
0.835,11,15,31,0.839,,,No,17:00:02,0.858,0.82,4144,0.821,0.8322,0.8369,0.88,AMZND,0,Du00f3lar efectivo,0.853,1.67,48hs,5024
0.0,787,8,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,4787.0,0.0,0.0,7408.0,ANF,0,Pesos,0.0,0.0,48hs,0
4328.0,1,5,18,4297.5,BANCO COMAFI S.A.,,No,17:00:02,4409.0,4160.5,243126,3850.0,4263.0,4224.3354,4800.0,ARCO,1,Pesos,4195.0,-2.39,48hs,57
1203.5,1,5,195,1175.0,Caja de Valores S.A.,,No,17:00:02,1220.0,1155.0,11420783,1137.0,1180.6154,1170.9074,1350.0,ARKK,1,Pesos,1161.5,-1.15,48hs,9654
4.0,30,5,9,3.9,,,No,17:00:02,4.0,3.84,564,3.8,3.9078,3.8552,5.0,ARKKD,0,Du00f3lar efectivo,3.84,-1.54,48hs,145
0.0,290,290,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,29871.0,0.0,0.0,30199.0,ASR,0,Pesos,0.0,0.0,48hs,0
1242.5,3,1,65,1261.5,BANCO COMAFI S.A.,,No,17:00:01,1277.5,1200.0,894104,700.0,1233.0154,1219.3762,1396.0,AUY,-1,Pesos,1226.0,-2.81,48hs,723
0.0,25,13,,0.0,,,No,,0.0,0.0,0,4.05,0.0,0.0,5.2,AUYD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3810.5,2,5,35,3754.0,BANCO COMAFI S.A.,,No,17:00:02,3810.5,3658.0,968695,3600.0,3709.4143,3690.8019,3778.0,AVGO,0,Pesos,3700.0,-1.44,48hs,262
12.25,3,58,3,12.6,,,No,17:00:02,12.25,12.25,869,12.15,12.25,12.25,16.0,AVGOD,0,Du00f3lar efectivo,12.25,-2.78,48hs,71
17126.0,225,225,15,17225.0,BANCO COMAFI S.A.,,No,17:00:01,17126.0,16841.0,15664821,16860.0,17038.3667,16977.707,17198.0,AVY,0,Pesos,16998.0,-1.32,48hs,921
