Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
1887.5,1,1,54,1897.0,BANCO COMAFI S.A.,,No,17:00:02,1900.0,1800.0,1347209,1694.0,1880.1574,1878.4317,1790.0,AAL,-1,Pesos,1851.0,-2.42,48hs,716
0.0,1642,1,,0.0,,,No,,0.0,0.0,0,6.25,0.0,0.0,7.4,AALD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4350.0,25,40,832,4369.0,BANCO COMAFI S.A.,,No,17:00:01,4403.5,4300.0,269937048,4300.0,4350.2837,4342.5309,4600.0,AAPL,0,Pesos,4327.0,-0.96,48hs,61777
14.85,9,30,75,15.0,,,No,17:00:02,15.0,14.4,1036337,14.1,14.6393,14.5877,17.0,AAPLD,0,Du00f3lar efectivo,14.45,-3.67,48hs,70526
4235.0,1,3,89,4437.5,BANCO COMAFI S.A.,,No,17:00:02,4254.0,4133.5,8908540,4155.0,4186.1404,4199.9545,5000.0,ABBV,0,Pesos,4200.0,-5.35,48hs,2120
14.0,21,2,1,14.8,,,No,17:00:02,14.0,14.0,42,14.0,14.0,14.0,16.0,ABBVD,0,Du00f3lar efectivo,14.0,-5.41,48hs,3
2630.0,3980,7,12,2624.0,BANCO COMAFI S.A.,,No,17:00:02,2660.0,2624.0,1090460,2622.5,2639.9167,2644.398,2898.0,ABEV,-1,Pesos,2638.0,0.53,48hs,413
2204.0,1,21,31,2229.0,Caja de Valores S.A.,,No,17:00:02,2233.0,2150.0,547808,2000.0,2203.1452,2188.2853,3000.0,ABNB,-1,Pesos,2150.0,-3.54,48hs,249
7520.0,1,4,11,7514.5,BANCO COMAFI S.A.,,No,17:00:01,7615.0,7312.5,6744322,7000.0,7543.4545,7544.9944,8307.0,ABT,-1,Pesos,7526.5,0.16,48hs,887
0.0,5,4,,0.0,,,No,,0.0,0.0,0,24.2,0.0,0.0,33.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,1,4,,0.0,,,No,,0.0,0.0,0,1800.0,0.0,0.0,2500.0,ACHHY,0,Pesos,0.0,0.0,48hs,0
3892.0,2,2,60,3892.5,BANCO COMAFI S.A.,,No,17:00:02,3977.5,3815.0,3538217,3450.0,3921.85,3915.0076,4267.0,ADBE,-1,Pesos,3907.5,0.39,48hs,902
13.2,10,5,2,13.6,,,No,17:00:02,13.25,13.2,171,13.2,13.225,13.231,15.9,ADBED,1,Du00f3lar efectivo,13.25,-2.57,48hs,13
4879.5,1,10,76,4685.5,BANCO COMAFI S.A.,,No,17:00:02,5222.0,4879.5,2381138,5111.5,5087.1645,5113.9281,6300.0,ADGO,1,Pesos,5203.0,11.04,48hs,469
0.0,200,15,,0.0,,,No,,0.0,0.0,0,16.0,0.0,0.0,28.25,ADGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
14355.0,620,3,25,14432.0,BANCO COMAFI S.A.,,No,17:00:01,14603.5,14355.0,17299123,14382.0,14515.54,14530.2636,17897.0,ADI,-1,Pesos,14459.5,0.19,48hs,1192
49.1,213,96,2,51.7,,,No,17:00:02,49.15,49.1,294,48.25,49.125,49.1273,48.85,ADID,1,Du00f3lar efectivo,49.1,-5.03,48hs,6
11761.5,850,850,4,11630.0,BANCO COMAFI S.A.,,No,17:00:01,11761.5,11723.0,434676,11677.0,11742.5,11740.8015,11822.5,ADP,1,Pesos,11747.5,1.01,48hs,37
0.0,8,0,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1680.0,0.0,0.0,0.0,ADS,0,Pesos,0.0,0.0,48hs,0
0.0,6770,6770,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1215.0,0.0,0.0,1236.5,AEG,0,Pesos,0.0,0.0,48hs,0
4422.0,1900,1,7,4181.5,BANCO COMAFI S.A.,,No,17:00:01,4422.0,4370.0,5181187,4349.5,4398.7143,4395.2761,4411.0,AEM,-1,Pesos,4390.0,4.99,48hs,1172
2933.0,18,3,3,2911.5,BANCO COMAFI S.A.,,No,17:00:01,2972.0,2933.0,23577,2839.5,2966.5,2967.275,3200.5,AIG,-1,Pesos,2970.5,2.03,48hs,8
0.0,1045,0,,0.0,,,No,,0.0,0.0,0,9.82,0.0,0.0,0.0,AIGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,1,1193,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,3190.0,0.0,0.0,3300.0,AKO.B,0,Pesos,0.0,0.0,48hs,0
5144.0,3,3,12,5183.0,BANCO COMAFI S.A.,,No,17:00:01,5168.5,5053.0,5271850,5053.0,5132.25,5131.7059,5900.0,AMAT,-1,Pesos,5053.0,-2.51,48hs,1025
0.0,600,5,,0.0,,,No,,0.0,0.0,0,17.1,0.0,0.0,17.3,AMATD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
39557.0,10,4,124,39427.0,BANCO COMAFI S.A.,,No,17:00:02,40459.0,39118.0,113339195,37450.0,39844.0806,39802.8936,55999.0,AMD,1,Pesos,39710.5,0.72,48hs,2840
40000.0,0,708,1,42500.0,,,No,17:00:02,40000.0,40000.0,28320000,0.0,40000.0,40000.0,40000.0,AMD.B,0,Pesos,40000.0,-5.88,48hs,708
134.5,2,3,3,132.25,,,No,17:00:02,135.5,134.5,10703,130.0,135.0,135.2437,170.0,AMDD,-1,Du00f3lar efectivo,135.0,2.08,48hs,79
6957.0,1,1,15,6915.0,BANCO COMAFI S.A.,,No,17:00:01,7031.5,6743.0,1425154,1.0,6988.7667,6982.5989,6743.0,AMGN,-1,Pesos,6963.0,0.69,48hs,203
5048.0,2,1,8,5047.5,BANCO COMAFI S.A.,,No,17:00:01,5100.0,4960.5,162815,4963.0,5052.3125,5052.2939,5149.5,AMX,-1,Pesos,4963.5,-1.66,48hs,32
0.0,6,20,,0.0,,,No,,0.0,0.0,0,16.45,0.0,0.0,17.3,AMXD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
242.0,100,20,1071,245.0,BANCO COMAFI S.A.,,No,17:00:02,249.75,241.25,20216563,235.0,245.9914,245.9571,255.0,AMZN,0,Pesos,244.75,-0.1,48hs,82211
0.83,15,15,42,0.84,,,No,17:00:02,0.862,0.813,1855,0.8,0.84,0.8338,0.88,AMZND,-1,Du00f3lar efectivo,0.813,-3.21,48hs,2188
0.0,1710,1710,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,4809.5,0.0,0.0,4868.0,ANF,0,Pesos,0.0,0.0,48hs,0
4323.0,1,20,24,4322.5,BANCO COMAFI S.A.,,No,17:00:02,4569.5,4323.0,794604,3850.0,4422.5208,4454.3062,5000.0,ARCO,1,Pesos,4562.0,5.54,48hs,180
14.3,0,0,1,14.44,,,No,17:00:02,14.3,14.3,143,0.0,14.3,14.3,0.0,ARCOD,0,Du00f3lar efectivo,14.3,-0.97,48hs,10
1162.0,1,5,191,1159.5,Caja de Valores S.A.,,No,17:00:02,1210.0,1162.0,7707071,1100.0,1190.7147,1188.5952,1350.0,ARKK,1,Pesos,1177.5,1.55,48hs,6474
3.96,30,254,3,4.0,,,No,17:00:02,4.0,3.96,67,3.91,3.9867,3.9938,4.5,ARKKD,0,Du00f3lar efectivo,4.0,0.0,48hs,17
0.0,290,290,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,30371.5,0.0,0.0,30783.0,ASR,0,Pesos,0.0,0.0,48hs,0
1400.5,3,4,78,1384.0,BANCO COMAFI S.A.,,No,17:00:01,1427.0,1380.5,7110967,700.0,1401.7244,1400.4743,1443.0,AUY,0,Pesos,1404.0,1.45,48hs,5066
4.75,1,7,4,4.56,,,No,17:00:02,4.75,4.73,23,3.5,4.745,4.7429,5.5,AUYD,-1,Du00f3lar efectivo,4.73,3.73,48hs,5
3580.5,29,4,31,3527.5,BANCO COMAFI S.A.,,No,17:00:02,3604.5,3400.0,1111538,3408.5,3563.0161,3544.2309,4000.0,AVGO,-1,Pesos,3400.0,-3.61,48hs,312
0.0,10,14,,0.0,,,No,,0.0,0.0,0,11.9,0.0,0.0,13.4,AVGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
16675.0,550,550,3,16622.5,BANCO COMAFI S.A.,,No,17:00:01,16802.0,16675.0,9221355,16776.5,16757.3333,16798.7818,16982.5,AVY,1,Pesos,16797.5,1.05,48hs,549
8400.0,1,14,48,8447.5,BANCO COMAFI S.A.,,No,17:00:01,8529.5,8364.0,11017087,8230.0,8444.2604,8448.269,10000.0,AXP,1,Pesos,8520.0,0.86,48hs,1310
0.0,3,170,,0.0,,,No,,0.0,0.0,0,26.9,0.0,0.0,28.4,AXPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
8544.0,12,4,14,8418.0,BANCO COMAFI S.A.,,No,17:00:01,8554.5,8463.0,5697139,8199.0,8520.8571,8519.3225,10500.0,AZN,1,Pesos,8506.0,1.05,48hs,667
0.0,3,5,,0.0,,,No,,0.0,0.0,0,27.3,0.0,0.0,31.9,AZND,0,Du00f3lar efectivo,0.0,0.0,48hs,0
6400.5,4,12,42,6371.0,BANCO COMAFI S.A.,,No,17:00:01,6414.5,6252.0,4171328,6000.0,6336.2976,6308.6421,7100.0,BA,-1,Pesos,6269.5,-1.59,48hs,660
4789.0,8,4,56,4704.0,BANCO COMAFI S.A.,,No,17:00:01,4800.0,4678.5,969825,4300.0,4732.5,4717.9659,5200.0,BA.C,1,Pesos,4785.5,1.73,48hs,205
0.0,8,1,,0.0,,,No,,0.0,0.0,0,15.55,0.0,0.0,23.0,BA.CD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2721.0,2000,22,166,2696.0,BANCO COMAFI S.A.,,No,17:00:02,2790.0,2696.0,7511514,2601.0,2765.4458,2769.3204,2850.0,BABA,-1,Pesos,2777.5,3.02,48hs,2717
8.59,5,4,16,8.77,,,No,17:00:02,9.5,8.59,880,9.13,9.325,9.4246,12.2,BABAD,0,Du00f3lar efectivo,9.4,7.18,48hs,94
0.0,6,3,,0.0,,,No,,0.0,0.0,0,20.7,0.0,0.0,50.0,BAD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
484.5,2,10,29,494.5,BANCO COMAFI S.A.,,No,17:00:02,500.0,484.5,220276,488.0,493.069,492.3888,579.0,BB,0,Pesos,490.0,-0.91,48hs,447
1122.5,10,393,165,1122.5,BANCO COMAFI S.A.,,No,17:00:01,1148.5,1114.5,20631787,1000.0,1135.0606,1140.1013,1260.0,BBD,1,Pesos,1142.5,1.78,48hs,18125
3.83,26,1,8,3.79,,,No,17:00:02,3.84,3.75,829,3.65,3.7825,3.7813,4.5,BBDD,1,Du00f3lar efectivo,3.84,1.32,48hs,220
1377.0,1,2,7,1365.0,BANCO COMAFI S.A.,,No,17:00:01,1385.5,1374.5,93832,1200.0,1380.0,1379.4256,1520.0,BBV,1,Pesos,1375.0,0.73,48hs,68
0.0,2242,0,,0.0,,,No,,0.0,0.0,0,4.58,0.0,0.0,0.0,BBVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1947.0,1,2,8,1987.0,BANCO COMAFI S.A.,,No,17:00:01,1989.5,1947.0,272528,1965.0,1974.875,1982.1419,2000.0,BCS,0,Pesos,1985.0,-0.1,48hs,138
7737.0,13,20,12,7917.0,BANCO COMAFI S.A.,,No,17:00:01,7852.5,7737.0,1343021,7482.0,7786.1667,7792.5202,8195.0,BHP,-1,Pesos,7778.0,-1.76,48hs,173
3341.0,45,2,12,3257.0,BANCO COMAFI S.A.,,No,17:00:02,3355.0,3299.0,167410,3195.5,3344.25,3341.5617,4000.0,BIDU,-1,Pesos,3312.0,1.69,48hs,50
0.0,1,5,,0.0,,,No,,0.0,0.0,0,11.0,0.0,0.0,11.8,BIDUD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
6024.0,2,3,40,6283.5,BANCO COMAFI S.A.,,No,17:00:02,6450.0,6024.0,7901224,4979.5,6327.725,6387.488,6700.0,BIIB,-1,Pesos,6363.5,1.27,48hs,1238
8000.0,2,9,100,7800.0,BANCO COMAFI S.A.,,No,17:00:02,8200.0,7937.0,6224772,7500.0,8091.54,8106.5247,8250.0,BIOX,-1,Pesos,8168.0,4.72,48hs,770
0.0,2,65,,0.0,,,No,,0.0,0.0,0,25.4,0.0,0.0,29.0,BIOXD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1619.0,10,45,40,1602.5,Caja de Valores S.A.,,No,17:00:02,1718.0,1610.0,1416660,1300.0,1652.2875,1647.9197,1635.0,BITF,0,Pesos,1635.0,2.03,48hs,847
0.0,1,2,,0.0,,,No,,0.0,0.0,0,5.25,0.0,0.0,10.5,BITFD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,9,1,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,5763.5,0.0,0.0,6630.0,BK,0,Pesos,0.0,0.0,48hs,0
7265.0,7,1150,5,7314.5,BANCO COMAFI S.A.,,No,17:00:01,7341.5,7265.0,10728200,7154.0,7311.4,7327.9141,7413.5,BMY,1,Pesos,7341.5,0.37,48hs,1466
5096.5,1,1640,24,5000.0,BANCO COMAFI S.A.,,No,17:00:01,5131.0,5096.5,994317,4550.0,5121.6667,5123.8833,5162.0,BNG,-1,Pesos,5114.0,2.28,48hs,194
0.0,30,5,,0.0,,,No,,0.0,0.0,0,17.1,0.0,0.0,18.9,BNGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1781.5,84,6,38,1760.5,BANCO COMAFI S.A.,,No,17:00:01,1787.0,1759.5,2374044,1709.0,1777.2368,1777.5421,1799.5,BP,1,Pesos,1780.0,1.11,48hs,1332
0.0,17,19,,0.0,,,No,,0.0,0.0,0,5.67,0.0,0.0,5.97,BPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2203.5,2,1,19,2217.0,BANCO COMAFI S.A.,,No,17:00:02,2221.5,2170.0,766001,2191.0,2191.2368,2191.2389,3100.0,BRFS,-1,Pesos,2200.0,-0.77,48hs,349
3767.5,20,15,231,3767.5,BANCO COMAFI S.A.,,No,17:00:02,3850.0,3755.0,20258625,3750.0,3790.1645,3789.6051,4091.0,BRKB,1,Pesos,3808.5,1.09,48hs,5347
12.7,5,8,11,12.95,,,No,17:00:02,12.95,12.7,2395,12.0,12.8591,12.9139,14.8,BRKBD,0,Du00f3lar efectivo,12.95,0.0,48hs,186
